ALBERTA FISHES_COMMON NAMES,Scientific name
LONGNOSE SUCKER,Catostomus catostomus
WHITE SUCKER,Catostomus commersonii
TULLIBEE (CISCO),Coregonus artedi
LAKE WHITEFISH,Coregonus clupeaformis
BROOK STICKLEBACK,Culaea inconstans
NORTHERN PIKE,Esox lucius
GOLDEYE,Hiodon alosoides
BURBOT,Lota lota
EMERALD SHINER,Notropis atherinoides
SPOTTAIL SHINER,Notropis hudsonius
YELLOW PERCH,Perca flavescens
TROUT-PERCH,Percopsis omiscomaycus
FLATHEAD CHUB,Platygobio gracilis
NINESPINE STICKLEBACK,Pungitius pungitius 
LAKE TROUT,Salvelinus namaycush
WALLEYE,Sander vitreus
ARCTIC GRAYLING,Thymallus arcticus
MOUNTAIN WHITEFISH,Prosopium williamsoni
DOLLY VARDEN,Salvelinus malma
Northern redbelly dace,Chrosomus eos
Finescale dace,Chrosomus neogaeus
Brassy minnow,Hybognathus hankinsoni
Lake chub,Couesius plumbeus
Fathead minnow,Pimephales promelas
Longnose dace,Rhinichthys cataractae
Pearl dace,Margariscus margarita
Iowa darter ,Etheostoma exile
Slimy sculpin ,Cottus cognatus 
Spoonhead sculpin ,Cottus ricei
Kokanee,Oncorhynchus nerka 
Brown trout ,Salmo trutta
Cutthroat trout ,Oncorhynchus clarkii
Rainbow trout ,Oncorhynchus mykiss
