x
Salvelinus namaycush
Hemilepidotus hemilepidotus
Blepsias cirrhosus
Myoxocephalus polyacanthocephalus
Sebastes flavidus
Sebastes maliger
Sebastes caurinus
Parophrys vetulus
Citharichthys sordidus
Sebastes crameri
Percopsis omiscomaycus
Lota lota
Couesius plumbeus
Rhinichthys cataractae
Carassius gibelio
Seriola quinqueradiata

Cyclothone microdon
Stenobrachius leucopsarus
Nannobrachium regale
Salmo salar
Leuroglossus schmidti
Lampanyctus regalis
Diaphus theta
Lycodapus mandibularis
Oligocottus maculosus
Nemichthys larseni
Paraliparis dactylosus
Paraliparis sp.
Sebastes diploproa
Chauliodus macouni
Bentartia pusillum
Careproctus furcellus
Thaleichthys pacificus
Engraulis mordax
Lyopsetta exilis
Microstomus pacificus
Anoplopoma fimbria
Radulinus asprellus
Sebastes aleutianus
Icelinus filamentosus
Bathyagonus infraspinatus
Bathyagonus pentacanthus
Cyclothone atraria
Coregonus clupeaformis
Paricelinus hopliticus
Xiphister atropurpureus
Ophiodon elongatus
Gadus chalcogrammus
Merluccius productus
Oncorhynchus gorbuscha
Lepidogobius lepidus
Oncorhynchus keta
Ammodytes personatus
Pleuronichthys decurrens
Catostomus catostomus
Oncorhynchus mykiss
Prosopium williamsoni
Oncorhynchus tshawytscha
Nectoliparis pelagicus
Psychrolutes sigalutes
Tarletonbeania crenularis
Malacocottus kincaidi
Sebastes saxicola
Microgadus proximus
Alosa sapidissima
Nautichthys robustus
Tactostoma macropus
Melanostigma pammelas
Lycodes pacificus
Hippoglossoides elassodon
Atheresthes stomias
Sebastes alutus
Pachycara lepinium
Hybognathus hankinsoni
Catostomus platyrhynchus
Rhinichthys falcatus
Rimicola muscarum
Scorpaenichthys marmoratus
Nautichthys oculofasciatus
Liparis cyclopus
Sebastes pinniger
Anguilla rostrata
Bathyagonus sp. MG
Arctozenus risso
Ronquilus jordani
Sebastes zacentrus
Sebastes wilsoni
Aristostomias scintillans
Dasycottus setiger
Lepidopsetta bilineata
Sardinops sagax
Embassichthys bathybius
Bothrocara molle
Alepocephalus tenebrosus
Pseudobathylagus milleri
Scopelosaurus harryi
Eopsetta jordani
Sebastes elongatus
Glyptocephalus zachirus
Sebastolobus alascanus
Rhinichthys osculus
Oncorhynchus clarkii
Richardsonius balteatus
Cymatogaster aggregata
Gadus macrocephalus
Hexagrammos lagocephalus
Apodichthys flavidus
Anoplarchus purpurescens
Catostomus commersonii
Culaea inconstans
Perca flavescens
Poroclinus rothrocki
Lumpenella longirostris
Gyrinomimus grahami
Sebastolobus altivelis
Clupea pallasii
Macropinna microstoma
Sagamichthys abei
Lipolagus ochotensis
Sebastes reedi
Hippoglossus stenolepis
Elassodiscus caudatus
Lumpenus sagitta
Conger myriaster
Chitonotus pugetensis
Pleuronichthys coenosus
Rhinogobiops nicholsii
Artedius fenestralis
Pholis laeta
Cottus aleuticus
Artedius harringtoni
Sebastes polyspinis
Syngnathus leptorhynchus
Sebastes ruberrimus
Sebastes borealis
Bathyagonus nigripinnis
Melamphaes lugubris
Coryphaenoides cinereus
Serrivomer jesperseni
Bothrocara brunneum
Paraliparis paucidens
Cottus bairdii
Oncorhynchus kisutch
Enophrys bison
Ammodytes hexapterus
Sebastes melanops
Pallasina barbata
Cottus ricei
Lycodes palearis
Kali indica
Psychrolutes phrictus
Talismania bifurcata
Allosmerus elongatus
Sebastes babcocki
Catostomus macrocheilus
Salvelinus malma
Thymallus arcticus
Citharichthys stigmaeus
Acipenser transmontanus
Artedius lateralis
Trichodon trichodon
Gasterosteus aculeatus
Ophichthus remiger
Osmerus mordax
Oreochromis niloticus
Liparis fucensis
Sebastes proriger
Odontopyxis trispinosa
Bathylagus pacificus
Lycodapus fierasfer
Cryptacanthodes aleutensis
Oncorhynchus nerka
Channa maculata
Icosteus aenigmaticus
Paraliparis pectoralis
Lycodapus pachysoma
Lycenchelys crotalinus
Platichthys stellatus
Icelinus burchami
Nannobrachium ritteri
Lycodes diapterus
Protomyctophum thompsoni
Hexagrammos decagrammus
Cottus hubbsi
Anoplarchus insignis
Embiotoca lateralis
Rhacochilus vacca
Leptocottus armatus
Sander vitreus
Paraliparis rosaceus
Sebastes brevispinis
Hypomesus pretiosus
