x

Helina evecta
Metopia campestris
Megaselia lucifrons
Paratanytarsus laccophilus
Entomobrya nivalis
Aristotelia roseosuffusella
Plutella xylostella
Cremastus mordellistenae
Acronicta grisea
Arrenurus sp.
Pemphigus populivenae
Clydesmithia canadensis
Chaitophorus populialbae
Enicmus fictus
Cricotopus trifascia
Phaonia consobrina
Dasyphora canadiana
Forcipomyia titillans
Formica lasioides
Megaselia diversa
Suillia convergens
Coenosia sp. 1 akr
Dictyna major
Anevrina macateei
Sciastes truncatus
Dolichopus plumipes
Platycheirus striatus
Limnophyes natalensis
Helina subvittata
Macrorchis alone
Aedes vexans
Orsodacne atra
Romualdius scaber
Drassodes neglectus
Medetera signaticornis
Mydaea affinis
Telenomus autumnalis
Scatopsciara atomaria
Psallovius piceicola
Macrosteles quadrilineatus
Lasioglossum versans
Ancylis unguicella
Euxoa divergens
Icaricia saepiolus
Idia americalis
Protorthodes eureka
Melanoplus oregonensis
Aphidius cingulatus
Psychoda satchelli
Isotoma anglicana
Megaselia tecticauda
Pardosa uintana
Spilogona arctica
Zaphne divisa
Scaptomyza pallida
Stenodema trispinosa
Trichopalpus punctipes
Phora carlina
Mycetophila perpallida
Glyptolaspis sp. JCS01
Balclutha neglecta
Delia platura
Agria housei
Zelotes fratris
Cyclosa conica
Pardosa dorsalis
Formica neorufibarbis
Alpinosciara subtrivialis
Megaselia plebeia
Megaselia eccoptomera
Epermenia prob. infracta
Coleophora JFL045
Nevadopalpa sp. nr. nevadana
Coleophora JFL188
Orconectes virilis
Willowsia buski
Parapiophila pectiniventris
Megaselia arcticae
Exechia unimaculata
Myrmica incompleta
Chlorops cinerapennis
Bathyphantes pallidus
Megaselia wiegmanae
Ormosia affinis
Tetrix arenosa
Bradysia excelsa
Neospondylis upiformis
Scolothrips pallidus
Myrmica detritinodis
Doratura stylata
Rhopalosiphum padi
Botanophila fugax
Canalidion montanum
Chironomus sp. TE11
Syrphophilus bizonarius
Sylvicola punctatus
Leiomyza curvinervis
Coleophora JFL035
Pemphigus sp. B RGF-2010
Emblyna phylax
Minilimosina dissimilicosta
Thrips physapus
Pseudolycoriella brunnea
Cavariella pastinacae
Drosophila neotestacea
Lonchoptera bifurcata
Anaphothrips ripicola
Epicypta aterrima
Clubiona canadensis
Eupithecia anticaria
Pherbellia vitalis
Philygria debilis
Lordithon fungicola
Scathophaga stercoraria
Pardosa moesta
Phalangium opilio
Tanytarsus mendax
Lepidocyrtus cyaneus
Zonocyba pomaria
Phyllocnistis populiella
Prosciara prosciaroides
Populicerus suturalis
Cydia nigricana
Apamea commoda
Tetragnatha straminea
Thrips trehernei
Fannia brooksi
Hercostomus unicolor
Dolichopus latipennis
Altica tombacina
Leptopterna amoena
Agyneta protrudens
Cinara pinivora
Chrysotoxum ventricosum
Amaurobius borealis
Oeneis alberta
Megaselia pulicaria complex
Aperileptus infuscatus
Clepsis persicana
Psyllobora vigintimaculata
Fannia spathiophora
Valenzuela flavidus
Stenocranus felti
Myrmica alaskensis
Aedes sticticus
Exechia cincta
Phyllotrox nubifer
Tipula entomophthorae
Pityohyphantes alticeps
Araneus nordmanni
Euryopis argentea
Triaenodes frontalis
Limnephilus externus
Phalaenostola metonalis
Psychoda phalaenoides
Boettcheria bisetosa
Phaonia pallidosa
Ampedus deletus
Speyeria hesperis
Choristostigma plumbosignalis
Chaitophorus pusillus
Hypena atomaria
Gharesia polunini
Frankliniella fusca
Aedes cinereus
Lopidea teton
Phytomyza flavicornis
Pegoplata nigroscutellata
Beris fuscipes
Medetera vittata
Chaitophorus neglectus
Phaonia soccata
Dendroides testaceus
Cabera borealis
Orthotylus pacificus
Colias christina
Gesneria nr. centuriella
Lispocephala alma
Lissonota coracina
Xysticus obscurus
Philodromus peninsulanus
Acrocercops astericola
Aleochara verna
Mocyta breviuscula
Polites draco
Phyllophaga nitida
Megaselia nigriceps
Rheumaptera undulata
Cortinicara gibbosa
Graphiphora augur
Achipteria clarencei
Raphia frater
Gnorimoschema alaskense
Pemphigus betae
Ceratophysella denticulata
Bryotropha plantariella
Limnophyes asquamatus
Culex territans
Lispe uliginosa
Limnophyes minimus
Drosophila affinis
Cladopelma viridulum
Chaitophorus stevensis
Anticlea vasiliata
Thricops rufisquamus
Siphlonurus phyllis
Slaterobius insignis
Mycobates incurvatus
Platypalpus nr. hyaenoides
Dalopius tristis
Megaselia subpalpalis
Anagrus daanei
Tanytarsus bathophilus
Caloptilia burgessiella
Lasionycta perplexa
Tenuiphantes zelatus
Proctolaelaps sp. JCS44
Hydrophoria lancifer
Nebria gebleri
Phloeostiba lapponica
Megaselia hirticrus
Mesembrina latreillii
Anaspis rufa
Camnula pellucida
Formica subaenescens
Styloctetor compar
Mogulones crucifer
Hybomitra illota
Thrips thalictri
Lacinipolia sareta
Euxoa comosa
Protorthodes incincta
Edwardsiana rosae
Nearctaphis sensoriata
Metriocnemus sp. 4ES
Phthitia quadricercus
Chaitophorus populicola
Xanthorhoe iduata
Schizaphis graminum
Hypogastrura tooliki
Colladonus eburatus
Frankliniella tritici
Osmia pusilla
Allomengea dentisetis
Arctopsyche grandis
Dryocoetes autographus
Hippodamia americana
Chionodes mediofuscella
Magdalis armicollis
Filatima abactella
Limonius ectypus
Ablabesmyia aspera
Arganthomyza duplex
Limnophyes schnelli
Mydaea new sp. nr urbana
Oligolophus tridens
Diarsia rubifera
Dolichopus discifer
Lauterborniella agrayloides
Megaselia largifrontalis
Eremocoris borealis
Bradysia trivittata
Dolichopus brevipennis
Cheilosia rita
Psectrocladius sordidellus
Lobophora magnoliatoidata
Parastichtis suspecta
Mindarus obliquus
Megaselia lombardorum
Paraliburnia kilmani
Hallomenus scapularis
Atomaria salicicola
Denticollis denticornis
Eupithecia albicapitata
Chirothrips hemingi
Ephedrus lacertosus
Laccocera vittipennis
Cercyonis pegala
Mniotype tenera
Heriades variolosus
Prosimulium travisi
Lepthyphantes rainieri
Achipteria coleoptrata
Corynoptera trepida
Basalys bechtalensis
Blera nigra
Agonopterix canadensis
Gesneria centuriella
Grammia nevadensis
Lycoriella flavipeda
Phidippus borealis
Isotoma viridis
Bradysia lapponica
Chrysopilus quadratus
Coleotechnites blastovora
Illinoia rubicola
Boletina dissipata
Formica dakotensis
Suillia nemorum
Aeolothrips auricestus
Scaphytopius latus
Grammonota gigas
Pseudorhyssa nigricornis
Essigella knowltoni
Calathus ingratus
Clubiona kulczynskii
Pimpla pedalis
Paraphaenocladius impensus
Protandrena irregularis
Pelochrista scintillana
Sunira verberata
Dictyna brevitarsa
Pemphredon inornata
Helina laxifrons
Coleotechnites starki
Chironomus acidophilus
Leptosciarella grimmi
Terrilimosina schmitzi
Claustropyga acanthostyla
Apamea sordens
Megaselia brejchaorum
Torrenticola sellersorum
Pityohyphantes cristatus
Lithophane fagina
Amblyseius sp. JCS26
Dolichovespula maculata
Olethreutes schulziana
Corticarina minuta
Dichelotarsus extremus
Tachinus fumipennis
Mycetophila ocellus
Microcercis albipalpis
Bryotropha gemella
Nysius niger
Megaselia longicostalis
Helophora insignis
Tomosvaryella sp. AK4
Chionodes occlusa
Forcipata acclina
Hybomitra lurida
Lasioglossum ruidosense
Zaglyptus varipes
Scrobipalpa sp. 6
Gerris buenoi
Iteaphila macquarti
Alloxysta basimacula
Atractodes ambiguus
Dicrotendipes tritomus
Spelobia semioculata
Stenocorus obtusus
Rudolfina digitata
Tranosemella praerogator
Contacyphon variabilis
Neokolla hieroglyphica
Megaselia atrox
Tomosvaryella sp. ON16
Emblyna annulipes
Thrips idahoensis
Mycetophila caudata
Sorhoanus xanthoneurus
Lispe tentaculata
Metalimnobia solitaria
Lepidocyrtus lignorum
Grammonota pictilis
Cricotopus perniger
Psammotettix lividellus
Dichelotarsus fissilis
Ligyrocoris diffusus
Megaselia mikejohnsoni
Epuraea truncatella
Syneta hamata
Auridius ordinatus
Telenomus podisi
Micrurapteryx salicifoliella
Helina cinerella
Elachista dasycara
Diplolepis bicolor
Muscina sp. 1 AKR
Stenus mammops
Limotettix plutonius
Callizzia amorata
Coenosia campestris
Leptocera erythrocera
Anthomyza pengellyi
Bryotropha similis
Lepthyphantes alpinus
Cryptocephalus confluentus
Chaoborus flavicans
Limonius aeger
Campaea perlata
Depressaria atrostrigella
Gazoryctra hyperboreus
Chionodes praeclarella
Idia lubricalis
Spelobia lucifuga
Terrilimosina pexa
Perispasta caeculalis
Anystis agilis
Nelima paessleri
Mystacides interjectus
Emblyna peragrata
Agrotis obliqua
Pachyprotasis rapae
Xysticus canadensis
Macaria signaria
Cladara atroliturata
Perillus exaptus
Sciota fernaldi
Diplolepis polita
Smittia edwardsi
Stephostethus liratus
Zodion fulvifrons
Pterostichus melanarius
Dictyna volucripes
Lasiodiamesa sphagnicola
Diapterobates humeralis
Chrysopa chi
Latalus curtus
Neortholomus scolopax
Philodromus rufus
Bombus insularis
Macaria loricaria
Aristotelia fungivorella
Plebejus melissa
Polia propodea
Melanomya ordinaria
Limotettix arctostaphyli
Apterothrips secticornis
Hypogastrura assimilis
Cotesia xylina
Micropsectra subletteorum
Diapria nigricornis
Leptocera neofinalis
Thrips tabaci
Entomobrya comparata
Camptochaeta uniformis
Botanophila profuga
Protitame virginalis
Diplocolenus configuratus
Colostygia circumvallaria
Catastenus femoralis
Rugathodes aurantius
Spelobia bumamma
Tapinocyba minuta cf.
Epinotia pulsatillana
Apamea cogitata
Dejongia lobidactylus
Hesperumia sulphuraria
Idia concisa
Hesperoperla pacifica
Agnocoris rubicundus
Spelobia nudiprocta
Boletina onegensis
Pherbellia nana
Homaemus aeneifrons
Endochironomus nigricans
Plateumaris nitida
Cybaeopsis euopla
Agnyphantes arboreus
Brymblia quadrimaculella
Phaonia errans
Dysstroma brunneata
Choristoneura occidentalis
Iteaphila orchestris
Isotoma riparia
Isotomurus plumosus
Pelegrina montana
Bradysia hilaris
Mompha terminella
Coenosia octopunctata
Billaea nipigonensis
Macrosteles variatus
Neoscona arabesca
Philodromus praelustris
Xysticus benefactor
Pityohyphantes limitaneus
Bombus cryptarum
Anaphothrips cameroni
Hedya ochroleucana
Hydriomena perfracta
Diplonevra nitidula
Pactopus hornii
Rachispoda urodela
Chironomus atrella
Dolichopus blandus
Dichelotarsus piniphilus
Coccinella trifasciata
Taeniothrips orionis
Eustalomyia festiva
Uroobovella sp. 2WK
Longitarsus jacobaeae
Pyrausta fodinalis
Coleophora JFL102
Polia piniae
Chionodes obscurusella
Pemphigus sp. 4
Feltia nigrita
Diplolepis bassetti
Micropsectra nigripila
Megaselia robusta
Sisicottus panopeus
Dalopius pallidus
Eutrichota lipsia
Antherophagus ochraceus
Bombus mixtus
Erromenus caelator
Rhingia nasica
Phytoliriomyza dorsata
Amiocentrus aspilus
Pherbellia quadrata
Elachista epimicta
Atheta modesta
Fannia metallipennis
Platycheirus quadratus
Phaenopsectra punctipes
Liogluta quadricollis
Singa keyserlingi
Misumena vatia
Kaestneria pullata
Orthonevra pictipennis
Campoletis flavicincta
Anaspis atrata
Caryocolum pullatella
Larinioides patagiatus
Euxoa siccata
Onocosmoecus unicolor
Ameletus velox
Lasiomma latipenne
Malthodes pumilus
Siphona cristata
Monopelopia tenuicalcar
Alliopsis silvestris
Coenosia mollicula
Catocala unijuga
Turrutus personatus
Coenonympha california
Phyciodes pulchella
Malacosoma californica
Catocala meskei
Cavariella aegopodii
Pardosa bucklei
Gnaphosa muscorum
Polyblastus pumilus
Fuscozetes fuscipes
Thanatus striatus
Ameletus cooki
Philodromus cespitum
Ceromasia aurifrons
Centrodora livens
Lixophaga variabilis
Alydus scutellatus
Acleris hudsoniana
Caryocolum cassella
Symplecta cana
Aulacigaster neoleucopeza
Villa psammina
Kybos luda
Araneus marmoreus
Chirothrips patruelis
Exorista dydas
Thricops albibasalis
Gammarus lacustris
Eomacrosiphon nigromaculosum
Parectopa sp. JFL01
Mycomya nitida
Endothenia hebesana
Chlosyne palla
Petrophila kearfottalis
Phyllotreta pusilla
Tetragnatha versicolor
Minilimosina parva
Emblyna manitoba
Clepsis moeschleriana
Agelenopsis utahana
Athrycia cinerea
Agonum simile
Dryomyza anilis
Helodon decemarticulatus
Diadegma insulare
Craspedolepta subpunctata
Synanthedon tipuliformis
Thrips vulgatissimus
Robertus fuscus
Agroeca ornata
Ectoedemia marmaropa
Smidtia fumiferanae
Brachycentrus americanus
Phlaeopterus loganensis
Apanteles jft12
Schenkia opacula
Papestra quadrata
Xanthorhoe ramaria
Polix coloradella
Eupithecia sp.
Paradiarsia littoralis
Spilomicrus flavipes
Neocnemodon calcarata
Pardosa lapponica
Araneus saevus
Smerinthus cerisyi
Megaselia spinigera
Notocelia culminana
Bolitobius horni
Parabagrotis exsertistigma
Stiphrosoma hirtum
Penaeus vannamei
Estrandia grandaeva
Exechia nigra
Smittia sp. 16ES
Tetragnatha laboriosa
Gambrus incubitor
Cephaloon tenuicorne
Aculepeira cf. packardi
Xanthomelanodes arcuatus
Corynoptera cursor
Homorthodes furfurata
Tortistilus wickhami
Acleris cervinana
Macrosiphum pseudocoryli
Pardosa fuscula
Bicellaria bisetosa
Philonthus concinnus
Stratiomys normula
Arrenurus americanus
Xestia c-nigrum
Hydroporus appalachius
Mycetophila stolida
Canifa pallipes
Hydrotaea scambus
Camisia biverrucata
Phyllotreta striolata
Phorodon humuli
Bradysia splendida
